Episode,Step,Return,Algorithm
784,16,-16.0,PPO
785,8,-8.0,PPO
786,21,-21.0,PPO
787,9,-9.0,PPO
788,9,-9.0,PPO
789,9,-9.0,PPO
790,20,-20.0,PPO
791,14,-14.0,PPO
792,20,-20.0,PPO
793,11,-11.0,PPO
794,13,-13.0,PPO
795,13,-13.0,PPO
796,11,-11.0,PPO
797,12,-12.0,PPO
798,20,-20.0,PPO
799,11,-11.0,PPO
800,14,-14.0,PPO
801,15,-15.0,PPO
802,8,-8.0,PPO
803,14,-14.0,PPO
804,15,-15.0,PPO
805,9,-9.0,PPO
806,19,-19.0,PPO
807,19,-19.0,PPO
808,24,-24.0,PPO
809,10,-10.0,PPO
810,11,-11.0,PPO
811,16,-16.0,PPO
812,19,-19.0,PPO
813,9,-9.0,PPO
814,13,-13.0,PPO
815,18,-18.0,PPO
816,10,-10.0,PPO
817,13,-13.0,PPO
818,9,-9.0,PPO
819,11,-11.0,PPO
820,13,-13.0,PPO
821,18,-18.0,PPO
822,13,-13.0,PPO
823,14,-14.0,PPO
824,10,-10.0,PPO
825,9,-9.0,PPO
826,8,-8.0,PPO
827,12,-12.0,PPO
828,11,-11.0,PPO
829,14,-14.0,PPO
830,17,-17.0,PPO
831,9,-9.0,PPO
832,9,-9.0,PPO
833,10,-10.0,PPO
834,26,-26.0,PPO
835,10,-10.0,PPO
836,8,-8.0,PPO
837,10,-10.0,PPO
838,15,-15.0,PPO
839,10,-10.0,PPO
840,18,-18.0,PPO
841,18,-18.0,PPO
842,14,-14.0,PPO
843,8,-8.0,PPO
844,11,-11.0,PPO
845,8,-8.0,PPO
846,10,-10.0,PPO
847,12,-12.0,PPO
848,8,-8.0,PPO
849,13,-13.0,PPO
850,11,-11.0,PPO
851,12,-12.0,PPO
852,16,-16.0,PPO
853,18,-18.0,PPO
854,11,-11.0,PPO
855,11,-11.0,PPO
856,19,-19.0,PPO
857,11,-11.0,PPO
858,12,-12.0,PPO
859,17,-17.0,PPO
860,8,-8.0,PPO
861,10,-10.0,PPO
862,8,-8.0,PPO
863,15,-15.0,PPO
864,14,-14.0,PPO
865,14,-14.0,PPO
866,13,-13.0,PPO
867,11,-11.0,PPO
868,10,-10.0,PPO
869,13,-13.0,PPO
870,13,-13.0,PPO
871,13,-13.0,PPO
872,12,-12.0,PPO
873,8,-8.0,PPO
874,15,-15.0,PPO
875,10,-10.0,PPO
876,18,-18.0,PPO
877,9,-9.0,PPO
878,23,-23.0,PPO
879,8,-8.0,PPO
880,8,-8.0,PPO
881,16,-16.0,PPO
882,13,-13.0,PPO
883,16,-16.0,PPO
884,18,-18.0,PPO
885,24,-24.0,PPO
886,16,-16.0,PPO
887,20,-20.0,PPO
888,12,-12.0,PPO
